序号	院校名称	
1	浙江工业大学	
2	浙江师范大学	
3	宁波大学	
4	杭州电子科技大学	
5	浙江工商大学	
6	浙江理工大学	
7	温州医科大学	
8	浙江海洋大学	
9	浙江农林大学	
10	浙江中医药大学	
11	中国计量大学	
12	浙江万里学院	
13	浙江科技学院	
14	浙江财经大学	
15	嘉兴学院	
16	杭州师范大学	
17	湖州师范学院	
18	绍兴文理学院	
19	台州学院	
20	温州大学	
21	浙江外国语学院	
22	宁波工程学院	
23	衢州学院	
24	浙江水利水电学院	
25	丽水学院	
26	温州肯恩大学	
27	宁波诺丁汉大学	
28	浙江大学城市学院	
29	浙江大学宁波理工学院	
30	浙江树人学院（浙江树人大学）	
31	浙江越秀外国语学院	
32	宁波大红鹰学院	
33	温州医科大学仁济学院	
34	浙江中医药大学滨江学院	
35	中国计量大学现代科技学院	
36	杭州师范大学钱江学院	
37	温州商学院（原温州大学城市学院）	
38	同济大学浙江学院	
39	上海财经大学浙江学院	
40 	杭州医学院
41 	浙江工业大学之江学院
42 	宁波大学科学技术学院
43 	杭州电子科技大学信息工程学院
44	浙江财经大学东方学院
45 	绍兴文理学院元培学院
46 	温州大学瓯江学院
		
